,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACN,3229561180.609851,3800190692.7921615,3066506945.0152054,4690180412.371134,3820790088.122317,5337154630.416312,5422521974.306964,9268810107.000128,5662181526.227252,6327842011.642949
ADI,747589643.3805568,807231295.4253955,942991249.0055687,2215561676.387989,1366894615.606104,1542652116.4021163,1535562794.0644228,5811165775.40107,3268571106.264571,2221248985.0151324
ADSK,148719953.09751806,-214704632.3841904,-371241354.20458686,-579294653.0147896,-35639270.95331662,240379810.0949525,900145666.4238893,843563201.6328912,659207525.6556443,743243243.2432433
AES,-838709677.4193549,-1027158774.3732592,-1267594174.5993,-116504854.36893204,-885726245.2909166,-664532973.9745641,-1077542062.911485,-5049319515.545012,-4927873429.502093,-3514518553.6830444
AIZ,160082111.43695015,505313475.4303041,481883144.1782262,308359456.6353187,320470474.50253767,395835118.6905476,1031654786.5409672,302018633.54037267,541847594.7211579,650511945.3924915
ALB,358898876.40449435,576361301.369863,-51144297.90535299,207841018.5086124,-76939523.35627471,-200984516.02219093,-599493130.5541507,2396411642.411642,-106219778.61928342,-1582181527.5557716
AMCR,501011882.3051312,246712386.6831929,579808359.380344,687199675.6562318,506480375.03447,744635008.1875378,801196043.8549414,1050366406.8861232,901766094.245951,697187813.8600602
AMGN,8202773979.29283,7696258881.94504,2639438211.31649,10246505175.541565,7371794871.794872,9025871172.122492,6738503444.960744,9573926868.044516,8587911600.248513,7332194705.380017
AON,1400645098.2308671,1324403441.8522134,1659658457.049687,1721710321.979501,1500160359.2046182,1966824644.5497632,1152710146.0844576,3116349988.2711706,2101301039.1948287,2715254826.926422
AOS,266979380.4358448,267694162.21801275,213045518.53589863,462091152.8150134,291120042.46606505,326214108.472173,395016932.7527818,295343734.76353,447157057.6540755,405335904.8537448
APA,-26963954283.481487,-2645038483.820244,-966340134.050232,-4016393442.622951,-2711622258.7327666,-3289363324.4376664,873246556.2997599,3746858881.100384,1584143023.707734,180365672.8710262
APD,509723443.760383,508489487.11181486,2328445506.2196226,951580505.3388308,668888191.9397837,480037536.2566115,727646297.8464348,778593913.9559287,-791414554.374489,-1298143553.7685003
ARE,-271746870.1095462,-763574713.6802237,-424391493.7227773,-1115290315.9622486,-2165057287.2788544,-1551669109.4059834,-4570826217.401339,-5498192970.040104,-1012937161.6851023,-887267729.947352
ATO,-376820226.91705793,-409703628.4738252,-378186472.6488817,-502639776.3578274,-719984518.7141426,-797183781.4014984,-660747140.2287817,-1219749462.3655915,-1138788822.5625055,-1085622949.365966
AVY,304046129.7888975,258546445.2060814,194345410.8282896,412899146.380019,173678532.90183386,460259564.00033927,534168479.4839097,919160942.100098,408368267.02523136,652065182.3168764
AXON,16329719.699189374,10740486.212524695,1470827.900912647,29775542.615140285,-3060386.6537284465,-52161390.54496599,-63905066.11201901,163699236.02734217,102475981.54172024,275794749.40334123
BALL,37732160.312805474,96720302.47076409,451208446.7541038,353724511.0278818,531337391.0182596,123348017.62114535,-118741976.89345317,-305200140.8616035,277999680.46013737,3357912648.893931
BAX,797887943.6784981,4521505376.344086,622094497.5065506,1750237517.1540167,852356836.7744448,1076201433.7551997,1154287588.1292014,-2235371466.140697,2721712538.2263,-95865787.89694428
BBY,1297762142.0893188,803801403.3217869,1101975078.4097652,1069547457.8093088,1041589988.95841,1346829513.1336792,1419088361.1152089,3323053199.691596,1078987730.0613496,1109760051.8806744
BEN,2016511968.7347336,1450350714.1046226,1274981273.4082398,786525278.4918594,789320170.5182859,692941869.2689493,1516321129.2456992,2118862355.7821305,885169618.7331132,571560551.2356609
BIIB,3422599863.267897,3197578567.748583,1901557285.8731923,4608788623.970919,4565764779.480763,3406890536.4151764,1391217882.4278102,3862237193.6345687,1084186759.132328,1628525989.7882311
BKR,-667383232.3627125,323707300.4514865,295616717.6350662,724010554.0897098,434153400.8683068,-7575879558.81169,238341968.9119171,-361278369.61556274,1578684013.0097573,2325791113.2972617
BSX,276556239.6169256,689110994.2135718,523948354.85214496,2422708176.2361307,3881822215.648573,564673866.8254104,1197391370.2889209,1425737953.564345,1654742096.5058236,2014854477.9341912
