,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACN,80.42288813893069,99.06149863032884,117.34187425633412,135.89839308196017,188.92500700258933,222.9040599358243,256.0621962113385,289.8460831255642,336.8739741133742,370.9091315407536
ADI,84.23963080742949,85.77829097617628,168.738674614742,187.11500199277089,194.4383296168535,199.23331870962184,630.8897256050676,605.5293068194849,590.5809108453642,584.1245626556621
ADSK,85.11478214952795,62.29042794207298,28.247583387314048,-9.81857616721303,-8.088819194004797,-5.335015409606768,37.03060659939133,32.56622274836165,43.9151160603864,71.1463233991413
AES,7.785347537636848,6.907672600875628,6.094278082018048,7.931214639802796,7.407082001511589,6.512100798391698,6.917561895937726,6.02505301658336,6.1511415286251125,9.009147801571508
AIZ,99.09833255914934,89.76963728087539,93.5482816358084,111.979304014015,123.82562788153837,130.36651602288907,120.25289226246836,92.63045439829132,105.35298565246582,111.86320653528374
ALB,72.55191094381323,84.60535800550447,81.91869688921247,79.92948910179948,87.66376386397508,95.15387980058306,125.40707999136568,177.9609964631424,209.8307902511867,222.07745540465976
AMCR,2.4288573555957105,1.3075958235509275,1.361977489704667,1.6843823267804203,9.303787220067296,7.673094901285311,7.902164791656373,6.770914500323534,6.678025913351923,6.437510822086144
AMGN,211.6652995823649,225.1718415063616,190.24476824977648,94.21415962609268,72.90668528505556,70.91688223375249,50.49878955958568,27.593443071290025,46.971411423184776,44.29572928980374
AON,31.165174942555385,27.94453534400437,23.391745293437825,21.186806614239664,17.226083431235576,17.838566397679507,5.415370228308428,-2.700029077073665,-4.215924419022396,31.241735313360884
AOS,54.22109202775965,56.96541686865716,61.98414791331215,64.5480239975479,62.66083075079373,69.48404936206627,68.87879415742998,65.7021441703637,69.33743474727859,70.80734024425246
APA,14.99786757475786,36.46013169576755,43.34535695027448,41.673731803594535,19.02496451903228,-9.579697955973552,-9.322524856484328,2.472368660998665,15.518058616906515,30.86077193870674
APD,85.4516642684428,83.45476649949892,118.89675488265524,127.98888740441684,130.300526439186,142.3974360642758,159.60682834810802,154.94229206020307,168.72135818841147,200.8273249150677
ARE,67.07124572450849,82.60627667597356,100.38811987379232,123.8802417697376,149.59219614482302,197.84676683725863,273.16452436116504,320.1191899592312,311.662289968848,301.84001803181985
ATO,34.78653610395357,37.70750596473623,42.450611280233545,51.93759499448305,62.61128328193756,73.94599041778801,86.09413357670407,102.55973983258538,118.35865433336956,132.37873693020785
AVY,47.83752469182576,45.84615212000077,51.825223498589736,47.31243640174255,59.642103892469926,74.29999304677379,95.32829296567202,100.66834180255596,105.40899740264682,114.54355218484903
AXON,8.48002511422822,8.149690641229952,9.043905411497986,25.240880846867523,29.35499254450502,52.72901911983688,56.59592007795295,68.51313047548132,87.06841102767939,125.7207310483174
BALL,17.873987595870723,49.07845514933328,56.30806164294687,49.40707362631572,42.13460385309573,46.79241357032504,51.82170504414319,49.44993690592212,53.850566945513,83.75484835091461
BAX,69.84141862109357,65.45165728791157,72.03629928768459,61.930373916330325,62.230393575792405,68.60186371226341,71.66522234045516,46.053017727429214,66.33592575790506,54.98255022352426
BBY,91.03014669269918,79.78578222635375,85.81801016534942,65.82600397478065,60.24938237558828,63.40217824702711,83.59465122710932,55.03724584823853,50.93678879000884,55.63864621677888
BEN,24.93416006705251,25.133784961432763,26.57453762741345,20.84521892878694,20.86059088795336,21.298586436804545,23.633650206617443,24.16261406176849,25.09398632742657,26.33890444512284
BIIB,259.36248522129483,335.5453218972999,348.53433370664163,360.7487079639886,369.147992277761,296.0305070575069,301.45020335878496,370.66130206683664,409.4346781068631,462.4586185409087
BKR,30.225870979005347,30.85610181676609,29.992685569033867,36.6899386049714,46.067773470851286,27.08522063749763,31.15441107997285,30.238475595760555,32.28462504902379,35.49250001322598
BSX,17.30278124890611,18.433485150140005,19.19458850254442,23.887146581757246,37.99219863782754,41.9619823104405,45.51014757920352,48.11377811206898,52.78990950022273,59.60151072605791
BX,9.314318496286738,9.59844304239401,9.856119674761713,9.47689524672226,10.413647282200742,9.882191734871212,13.99853177785769,11.373525457834472,10.126949698594345,12.200121182365972
CAG,54.57787942276643,44.78135506504318,48.12403915165185,44.33035800573883,89.04900759729584,94.9758807162286,103.1239746459598,105.96863256814947,105.35484245267912,101.78063046396768
CAH,106.86512368339412,111.9555659560366,116.29439930251714,103.49996553671436,108.0950291989319,30.559735656904103,30.59389969900237,-12.111152923837343,-50.528618263343965,-54.884533630873605
CAT,134.8704805065365,119.6430212988298,124.74312725356408,127.85783481877682,132.85776012082886,139.62450784291383,150.12526171042933,144.52425249228358,177.53833121712623,177.51100922094017
CBRE,26.58077695299834,29.53840248388407,39.38565371016632,48.39436148578488,61.07300989935828,69.35921179960013,83.56619129365717,76.9500995379783,81.00680922965321,82.4178386876271
CCL,77.95665234115587,74.10653623966594,79.41602343584329,80.16046666841417,83.18415239718223,67.40982663213407,39.829352685345086,23.16628632106033,22.569419940761207,30.34180082707392
CDW,68.44226379808501,65.29463162779257,61.5536957746077,60.90418437438863,59.97363438753629,81.00781127155403,44.073095686019336,100.13092576646564,127.56029182187116,146.93321839379013
CF,67.88254963419449,56.3220599165551,60.2080801796149,49.76124648541517,48.73506797439072,49.155632937925326,53.933250923678514,84.9709452325328,96.17479586109484,83.86065372880142
CFG,50.18166177146517,50.43964547496298,51.77554128614472,53.17274015558334,56.70788318173157,57.91350999411736,59.82156768236355,60.51122708775374,62.17662683706633,61.95184895679101
CHTR,-0.92705725270361,808.9380666580479,787.6762101014759,731.2667916163149,633.7242458970655,479.7521282741182,283.1555304453417,183.77902363922212,223.42079790157,314.13133473676453
CLX,5.58011411243395,14.044863486380365,25.63069363507797,34.33188852226312,26.43460838008965,42.93850520415277,19.435821188223336,26.29274107214641,10.403602582503972,15.510825668460472
CMCSA,37.50755011839232,38.708790603157446,49.23076744193352,51.38855127567829,59.36309458941481,64.81460233299947,68.95436120791587,58.08363713162734,59.34659009052019,61.39673588799568
CNP,9.333302749690557,9.330606042741788,12.64216217583049,21.73006459318304,22.541773384762603,22.51210960832614,25.389495922662988,27.088421300387644,26.069066073752847,28.763076315573382
COO,54.45608334064155,55.03363230253449,64.83059058652675,67.52327405737188,74.07227221845692,78.07761336311056,141.71395085604792,146.46442427277017,154.14643177905538,165.0192385764179
COP,66.7029346007804,58.67080214093087,51.34492025869136,53.579423273837456,58.68254502464411,50.07333370803013,76.17105398327637,80.5276638408848,82.66822378632506,108.69884186892426
COST,138.18864110190125,157.21772589901713,140.28418327176146,166.5890946089511,198.3996850632269,237.980702072823,228.60933336288903,268.6719345978567,326.1496626854517,307.4589884250835
CPB,26.75840172011132,29.5485609146776,31.71868473267359,26.429007926308355,21.37184438615698,49.77721507528312,61.112236803208624,64.541807479863,70.9746745117797,73.5129443346143
CPRT,4.246401488340807,3.409822565750995,4.834632600798408,6.961360037092272,7.829965374795753,10.960994342607137,15.538583481658064,20.36587210934545,26.361869522710307,33.12717893948618
CPT,79.37098890319376,84.74262740581455,95.45041123612845,92.20268980274926,99.45447989368,94.4174639182342,115.04420604404152,136.67256830709266,136.5118760409917,128.13715863735015
CRL,60.45306402077007,69.00486514129231,86.18351139367397,108.63503026682292,134.79751673356787,174.38265545229618,209.036330568868,245.44281937881505,296.6202786664186,285.45612129189783
CSCO,122.85326947974634,130.85443386946218,136.1041690438873,88.9100582030045,69.08618562941078,78.03604775154918,84.94034469792172,81.84935989510457,91.27459983978008,93.54653540723024
CTRA,5.470365505611457,6.990922196776435,6.871772502842085,5.685377856045384,5.857799404819994,6.033447323214645,31.95875662450068,34.46634010134215,35.50095651958292,35.726938526724986
CVS,118.92231282994172,117.75214489533155,120.50491700379966,186.15581418763725,204.1847130490213,221.84913337339563,240.0282997017925,228.49926808374832,244.4595913885948,241.5789320741584
CVX,158.34010822869934,150.91642521632676,153.5789975593118,160.245796689138,149.52396623788874,136.53770510241858,173.54206916828122,165.14791586267114,166.88460148358234,157.9274509886261
CZR,5.075605428455393,5.598747489421877,17.729951716319732,19.306243822205296,20.95901780791158,94.09691174410584,84.0418988464103,69.65347553944676,85.39257222072763,82.09092619461865
D,26.11057363584995,30.112517999967505,35.34329226671982,41.45651485281388,65.96507366593362,53.8479036360939,56.30350164622476,57.02719173989054,56.75915837186617,56.19010291359909
DD,158.90914872083803,162.7481692996145,628.3343143044724,590.5202747373398,256.68831396788005,241.13808868712653,165.5413229344176,166.39304691274322,152.05151816005466,146.2334918669334
DG,149.64314224641828,140.9381624520886,141.6829138559074,160.53834844031,168.18081658128528,175.65262453710793,174.57127002854392,164.10806053183532,145.23338998675982,176.87437011014714
DHI,77.27455945886126,89.05000511075363,101.56485750364658,117.78592063556202,131.37448600873773,155.2229754157266,195.1627384734978,254.28643564662653,297.54828501946065,331.8520381843923
DIS,65.04420418734401,63.20353720753371,60.354885929255886,71.24988143356158,129.83568187666643,122.10195886784446,129.36236751042952,138.79213366493383,145.02848869414825,147.1014303166489
DLR,38.202543846164446,43.26109142366938,87.85548043314088,83.6920516273136,83.86750651979509,150.40916499683922,152.84447177355003,149.26852992240094,162.29266849628843,181.1630085710944
DOC,4.284741510327043,7.294662358411607,10.377603219347307,9.984569916064478,10.108114809661544,28.255174117688952,27.33936921797628,27.923592261837733,26.646916936586383,35.25234349419502
DOV,113.25569383013703,118.0776550374976,136.207950743881,86.03669531122563,94.24034694056328,105.21338434971008,130.1901869108981,133.19944172912045,158.68848696801322,216.0964287665908
DRI,76.81635284567523,64.25777619659654,69.18574192232938,72.25049548990272,78.7618623606439,76.74063927741078,92.60427777594558,72.36241989516317,72.47105240615129,73.8207290578216
