,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACN,,4111891998.583625,3445148997.359906,4059907000.992881,4779111994.522954,5107838995.887383,5906808990.923201,6877169007.063669,6871556989.027852,7264786990.189193
ADI,,861663998.2439303,805378997.2887716,1506980001.5398347,1363010991.043527,1220760994.9877958,1390421990.652142,2748561019.5528283,3314578975.446709,1635272974.2370148
ADSK,,-326000001.84758866,-579200002.8613272,-566899999.5796392,-80799999.4253283,214500000.19955915,1208000000.2447371,497000001.43048847,822999998.3851079,905999998.0470188
AES,,-11000000.657993795,-550000000.8988717,1004000000.074422,301999999.1238062,42999999.21200077,-413000001.3574631,-545999999.2177147,241999999.00962365,1685999999.077989
AIZ,,565349989.0426071,519599984.4933218,251000003.66677585,382599975.3693896,440799981.161472,1361799963.7908273,276600010.78625584,642499985.2657065,760199983.482079
ALB,,643674995.3547397,54849990.68146512,693562002.0386757,533227987.8569864,375763993.0608139,123671986.07091038,2689816013.3106475,1573475974.6884706,-1179449035.0983517
AMCR,,245473999.99460807,596418000.0020149,719583999.9898268,430199999.961332,611999999.6104928,938999999.39019,805000000.2895515,1047999999.5955772,729999999.6602502
AMGN,,7721999991.233206,1978999986.745795,8394000002.948402,7841999993.518805,7263999997.54978,5892999995.663145,6552000000.702996,6716999999.1385975,4089999998.020967
AON,,1395999996.3835866,1225999995.7893434,1134000000.727105,1531999995.225872,1968999997.8110824,1254999995.8909135,2589000000.727622,2564000000.5466347,2654000000.5756845
AOS,,326499997.9466957,296499996.2763065,444200000.981671,369999995.17334175,344899998.1122577,487099996.0840273,235700002.90250784,556599996.030477,533599996.0239622
APA,,-1405000001.5070329,1303999993.7086902,40000001.522221565,-3515000008.03929,-4784000002.858813,1135000002.692317,3673999998.903145,2854999999.6583023,803999998.3965303
APD,,631099995.5481454,3000399993.19679,1497800002.4514282,1759999986.5665326,1886699991.4487176,2099099982.9540176,2256100008.6558213,2300199986.831789,3828199989.1394544
ARE,,-65901002.50477057,169092995.1587355,379312000.8675341,363164992.0558516,770958991.7972193,571246979.6525906,521660014.257476,103638969.8439768,322948968.8344011
ATO,,350103998.3580759,396420997.5733978,603063999.9614215,511405997.1060454,601442995.2168307,665562989.4956499,774398003.4230438,885319990.9183682,1042894991.4151684
AVY,,320699998.27711976,281799997.5322395,467400000.6916466,303599996.3202176,555899997.2133307,740099993.5362353,757100004.6009331,502999993.0511617,704899993.4039092
AXON,,17296999.67349694,5206999.565558819,29205000.11776888,881997.9882148929,-1724001.3148294955,-60018004.28310076,147139003.37154812,175782994.82540548,377033994.7498069
BALL,,262999999.3590648,373999997.278784,454000000.5705904,565999997.2154007,584999998.5144242,877999996.9888091,719000002.0044208,706999996.748052,4007999996.707591
BAX,,4964999998.003844,601999997.0472108,1546000000.9353745,1000999995.6740628,1101999998.0082486,1283999996.2847586,-2432999998.456725,2655999997.9893093,-649000002.7507832
BBY,,896999997.0068182,1227999996.255484,1000000001.562188,1463999993.8367643,1540999996.9253244,1797999994.1084137,2454000004.842417,1418999995.6302922,1240999996.8923898
BEN,,1726699995.833827,1696699992.324922,764400001.6084734,1195699993.594614,798899996.4117838,1831199993.006822,1291900005.4849074,882799992.6787536,464799993.1628413
BIIB,,3702799989.48134,2539099978.6202235,4430700005.556142,5888499975.218876,4000599986.675173,1556099981.247378,3046900010.3315663,1161099978.0723114,1632199980.3585284
BKR,,253999997.46439084,-61000004.09780396,195000000.7595888,127999994.46195532,-9940000005.380169,-219000005.84694925,-600999997.9500757,1942999997.095743,2978999996.576839
BSX,,346999999.40058905,103999999.08936302,1671000000.339095,4699999997.927106,-82000001.64658333,1039999996.7049538,698000001.6023741,1592999997.6053376,1853999997.946208
BX,,1039013998.3817184,1471373996.982314,1541788000.5588255,2049681997.254635,1045362997.9638478,5857396996.352619,1747631004.2300558,1390879995.395781,2776507996.37398
CAG,,-677000001.0275353,639299998.8448179,808400000.1718619,678299998.4145565,840099998.7171366,1298799997.8792987,888200000.6221415,683599997.883686,347199998.60277534
CAH,,1426999996.4664445,1287999993.9920402,256000001.51292077,1362999992.7907605,-3693000004.290666,610999997.8389992,-937999999.3871576,330000000.4502961,852000001.3520436
CAT,,-67000004.95869546,753999992.0865842,6147000003.035128,6092999986.842375,2997999994.4513354,6488999989.782172,6705000005.128574,10334999992.09907,10791999987.63661
CBRE,,571972998.2352762,691478996.2976447,1063219000.9184396,1282356994.3690414,751988995.386107,1836999990.371728,1407000006.253009,985999991.8011274,967999991.9411522
CCL,,2778999996.9785933,2605999995.3026986,3152000001.0557184,2989999993.9015026,-10236000006.80866,-9501000010.43999,-6092999996.103334,-74000003.06811872,1915999997.3522177
CDW,,425099998.9065747,523099998.1578437,643000000.4867666,736799997.6045827,788499998.5137529,988599996.1971898,1114500001.1827254,1104299996.5678933,1077799996.0434544
CF,,-277000004.0151501,357999993.3179522,290000001.9481141,492999993.0172425,316999996.23329633,916999992.9692156,3346000002.4994364,1524999994.7215066,1217999994.7219234
CFG,,1044999992.818341,1651999985.489275,1721000003.5821726,1790999983.816012,1056999986.5290588,2318999974.3382897,2073000011.124181,1607999982.906239,1508999980.2707186
CHTR,,3522000000.0486627,9894999937.407366,1230000015.8862088,1667999925.1919265,3221999969.213258,4653999957.635933,5055000016.003292,4556999981.833735,5082999977.555409
CLX,,647999999.9211591,700999999.7847614,823000000.0573193,819999999.1399655,938999999.747034,709999999.4104476,462000000.1125381,148999999.3832858,279999999.8272176
CMCSA,,8694999998.221003,22713999997.461994,11731000001.028774,13056999994.55974,10533999996.533403,14158999992.93212,5370000003.696202,15387999994.98456,16191999995.232763
CNP,,431999999.3977809,1791999999.170068,368000000.0402115,790999998.4201646,-773000002.5094874,1485999995.2165112,1057000001.3829724,916999997.4166976,1018999997.9892128
COO,,273916998.68374854,372899997.6880629,139900000.89452288,466699995.34993786,238399997.31714964,2944699994.73468,385800006.43169856,294199990.1084436,392299991.9633956
COP,,-3615000006.084717,-855000009.1502222,6257000001.684264,7188999991.548191,-2701000006.7685,8078999989.229202,18620000005.1222,10921999992.545406,9217999994.265425
COST,,2349999997.6354976,2678999996.364136,3134000001.135732,3658999992.7078056,4001999996.333527,5006999991.777586,5844000006.392616,6291999988.700392,7366999987.481714
CPB,,562999999.5755451,886999999.456497,260999999.97745505,210999999.49829865,1627999999.739536,1001999998.9748266,757000000.1239551,857999999.056767,566999999.5410529
CPRT,,270359999.883031,394226999.8276708,417867000.0754339,591692999.5140824,699906999.6955866,936494999.165719,1090130000.816295,1237740998.5788972,1363019998.4165742
CPT,,819822997.3597976,196421996.1523673,156128000.4418911,219622995.4974631,123910994.58400132,303906990.1860923,653613004.3633854,403308990.1012816,163292989.7805418
CRL,,154764997.92809948,123354996.30713882,226373001.5947315,252018989.90898877,364303993.6131808,390981985.1766681,486226011.464903,474623980.7871852,10296974.661661685
CSCO,,10738999997.82427,9608999996.44017,110000001.44958907,11620999995.715788,11213999998.524984,10590999997.067053,11812000001.607712,12612999997.717964,10319999997.762758
CTRA,,-417124000.40506864,100392999.24660708,557043000.1461879,681069999.3508254,200528999.63519177,1157999999.3151565,4065000001.78218,1624999996.5899186,1120999996.580032
CVS,,5316999996.753417,6621999995.903368,-593999998.5421605,6633999987.556291,7178999992.911446,8000999986.476756,4311000005.393625,8343999990.564123,4613999991.302434
CVX,,-497000012.0226325,9194999984.500557,14824000003.859877,2923999978.309068,-5543000015.760361,15624999973.1599,35465000008.94924,21368999986.86296,17660999987.803566
CZR,,24526999.879636217,73379999.6976127,95000000.52232257,80999997.68260568,-1757000001.9547126,-1019000016.5464988,-898999990.862563,785999990.2658088,-278000010.8075097
D,,2122999998.8550816,2998999998.6248693,2446999999.6687684,1357999998.1539235,-401000005.4440302,3398999991.7206182,1321000001.9283843,1993999995.257974,2123999996.450525
DD,,4295999990.8309,1446999987.14218,3828000020.354556,496999916.1448793,-2951000019.320801,6466999966.630939,5868000012.422359,422999982.4279017,702999986.0923444
DG,,1165079997.545866,1251132996.2544029,1538960001.1617937,1589471993.3372543,1712554997.3526423,2655049995.0090423,2399232003.301778,2415988995.0070486,1661273997.336195
DHI,,886299996.4863585,1038399993.4554442,1460300001.4032054,1618499992.5063603,2373699993.7279525,4175799985.024717,5857500012.712047,4745699978.841197,4756399980.121659
DIS,,9390999996.919918,8979999995.933506,12598000001.008987,11053999992.877836,-2864000008.682151,1994999984.648499,3145000010.341912,2353999984.0987144,4971999987.660504
DLR,,426186998.7488789,248258997.70495352,331246000.74717826,579760994.9659503,356397996.1173236,1709258987.2649958,377684007.353788,948837986.5323195,602489984.2274306
DOC,,627746999.8448355,414168999.59324825,1061093000.0096087,45529999.65212216,413562999.3358451,505539996.35965216,500449001.1344296,306008997.84353024,243141997.7584511
DOV,,508891995.8918048,811664992.4422308,570267001.8759536,677917993.7764415,683450995.6617216,1123817991.1697812,1065376005.3517262,1056827991.7587314,2697125989.902436
DRI,,374999997.9015072,479099997.5128841,596000000.5601449,713399995.9996424,-52400005.12403201,629299990.2995272,952800004.5831324,981899995.5512124,1027599996.6385268
DUK,,2665999996.199258,3058999996.35924,2665999998.948019,3747999996.236181,1376999991.3419812,3578999983.61852,2550000003.226556,4295999991.406113,4509999993.968966
DVA,,879873992.8870054,663617988.0441171,159394003.85964143,810980984.3888904,773641995.66368,978449995.0830494,560400000.7918923,691534998.372547,936341997.3642452
DVN,,-3302000002.6272216,897999996.0307146,3064000001.32769,-357000006.4022305,-2684000002.642486,2782999997.571688,6015000003.035656,3746999995.458789,2890999995.866228
EA,,1155999998.4790018,966999997.3318752,1043000001.1833942,1018999993.7424252,3038999997.550911,836999994.3588915,789000002.8995706,801999994.6403725,1272999994.7541814
