,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACN,89.22386169433594,102.02903747558594,136.04135131835938,127.5677261352539,192.8997802734375,243.131591796875,390.62835693359375,254.872314453125,340.49688720703125,346.8381652832031
ADI,45.39636993408203,61.26626968383789,76.76742553710938,75.50912475585938,106.70157623291016,135.37574768066406,163.75595092773438,155.71176147460938,192.08023071289062,209.01309204101562
ADSK,60.93000030517578,74.01000213623047,104.83000183105469,128.61000061035156,183.4600067138672,305.3399963378906,281.19000244140625,186.8699951171875,243.47999572753906,295.57000732421875
AES,6.583927631378174,8.3211669921875,8.097375869750977,11.257019996643066,16.00292205810547,19.547122955322266,20.709312438964844,25.20075035095215,17.419803619384766,12.125308990478516
AIZ,65.98216247558594,77.98626708984375,86.55154418945312,78.60658264160156,117.73837280273438,124.91431427001953,145.46981811523438,118.79405975341797,163.3603515625,209.9939422607422
ALB,48.81967544555664,76.24816131591797,114.536376953125,69.99385070800781,67.69668579101562,139.03890991210938,222.12208557128906,207.40008544921875,139.37954711914062,84.33016204833984
AMCR,6.195446491241455,7.1130900382995605,8.354372024536133,6.864943504333496,8.44948959350586,9.583322525024414,10.175288200378418,10.501108169555664,8.930549621582031,9.16370677947998
AMGN,120.58789825439453,111.47626495361328,136.30010986328125,157.06277465820312,200.41384887695312,196.42759704589844,198.14462280273438,238.62933349609375,270.7591552734375,252.4235382080078
AON,83.99517059326172,102.89312744140625,125.0007095336914,137.4312744140625,198.8289337158203,203.53277587890625,291.8457946777344,293.63348388671875,286.86395263671875,357.004150390625
AOS,32.470420837402344,40.61172103881836,53.11245346069336,37.52463150024414,42.64634704589844,50.09312057495117,79.78746795654297,54.19620895385742,79.49356079101562,66.83436584472656
APA,34.71470642089844,50.566078186035156,34.320594787597656,21.832548141479492,22.077146530151367,12.428072929382324,23.70772361755371,41.83003616333008,32.9463996887207,21.930295944213867
APD,94.23930358886719,115.400146484375,135.0642852783203,135.4163055419922,203.1481170654297,241.37130737304688,274.5707702636719,285.318359375,259.77386474609375,280.783935546875
ARE,63.59014892578125,80.73045349121094,97.64395141601562,88.8811264038086,128.02479553222656,145.01727294921875,185.7506103515625,125.14947509765625,113.74908447265625,91.64163970947266
ATO,49.72715759277344,59.89685821533203,70.92388916015625,78.29644012451172,96.41264343261719,84.14076232910156,94.86699676513672,104.00328826904297,110.41858673095703,136.203369140625
AVY,52.17655944824219,59.781959533691406,99.68758392333984,79.47566986083984,118.05654907226562,142.68898010253906,201.7803955078125,171.3893585205078,194.7992401123047,183.2135009765625
AXON,17.290000915527344,24.239999771118164,26.5,43.75,73.27999877929688,122.52999877929688,157.0,165.92999267578125,258.3299865722656,594.3200073242188
BALL,32.75710678100586,34.05156707763672,34.659400939941406,42.50908279418945,60.29176712036133,87.53802490234375,91.14557647705078,49.007545471191406,55.94123458862305,54.28774642944336
BAX,32.475425720214844,38.184417724609375,56.24382400512695,57.86808776855469,74.30122375488281,72.108154296875,78.22146606445312,47.2603645324707,36.90757369995117,28.64186668395996
BBY,21.171916961669922,31.02850914001465,51.037261962890625,40.50605010986328,69.06371307373047,80.60713958740234,84.18553924560547,69.45853424072266,71.203369140625,81.42240905761719
BEN,22.72201919555664,24.938112258911133,27.826154708862305,21.3320369720459,19.351119995117188,19.633623123168945,27.267396926879883,22.49131202697754,26.30644416809082,19.149057388305664
BIIB,306.3500061035156,283.5799865722656,318.57000732421875,300.9200134277344,296.7300109863281,244.86000061035156,239.9199981689453,276.9200134277344,258.7699890136719,152.9199981689453
BKR,24.899215698242188,35.55894470214844,25.26654624938965,17.5789852142334,21.624637603759766,18.348583221435547,21.8399600982666,27.51031494140625,32.62144088745117,40.16145324707031
BSX,18.440000534057617,21.6299991607666,24.790000915527344,35.34000015258789,45.220001220703125,35.95000076293945,42.47999954223633,46.27000045776367,57.810001373291016,89.31999969482422
BX,18.47402572631836,18.192293167114258,23.16683006286621,23.190710067749023,45.52942657470703,54.53336715698242,112.94168090820312,67.75879669189453,123.82743835449219,167.25453186035156
CAG,23.082592010498047,28.45977210998535,27.733997344970703,16.090469360351562,26.631088256835938,28.947673797607422,28.210712432861328,33.152992248535156,25.586366653442383,25.96058464050293
CAH,67.15908813476562,55.38569641113281,48.38036346435547,36.52598571777344,43.11558532714844,47.46781921386719,47.27970886230469,72.84928131103516,97.72565460205078,116.30384063720703
CAT,53.19156265258789,75.58834075927734,132.30502319335938,109.07476806640625,130.35919189453125,165.5117645263672,191.91693115234375,227.6112518310547,286.673583984375,357.3634338378906
CBRE,34.58000183105469,31.489999771118164,43.310001373291016,40.040000915527344,61.290000915527344,62.720001220703125,108.51000213623047,76.95999908447266,93.08999633789062,131.2899932861328
CCL,47.549583435058594,46.718204498291016,61.09064865112305,46.79543685913086,50.243595123291016,21.65999984741211,20.1200008392334,8.0600004196167,18.540000915527344,24.920000076293945
CDW,37.38525390625,46.82566452026367,63.17565155029297,74.53147888183594,132.83074951171875,124.13436889648438,194.7287139892578,171.8492431640625,221.4189910888672,171.4547119140625
CF,30.70052146911621,24.79353141784668,34.76987075805664,36.55427551269531,41.20708465576172,34.711490631103516,64.9742660522461,79.45651245117188,75.68614959716797,83.3118896484375
CFG,18.093719482421875,25.113801956176758,30.11389923095703,21.85213851928711,30.99427032470703,28.90765953063965,39.6081428527832,34.31341552734375,30.536643981933594,42.14363479614258
CHTR,183.10000610351562,287.9200134277344,335.9599914550781,284.9700012207031,485.0799865722656,661.5499877929688,651.969970703125,339.1000061035156,388.67999267578125,342.7699890136719
CLX,95.45602416992188,92.59741973876953,117.7249755859375,125.4400863647461,128.2376708984375,172.42697143554688,152.59796142578125,126.65605926513672,132.9741668701172,156.5342254638672
CMCSA,22.269329071044922,27.833707809448242,32.692562103271484,28.53707504272461,38.25181579589844,45.57109451293945,44.55863571166992,31.780109405517578,41.0207405090332,36.16373825073242
CNP,13.188455581665039,18.580583572387695,22.219684600830078,23.043413162231445,23.185802459716797,19.01676368713379,25.1803035736084,27.699474334716797,27.11281394958496,30.983469009399414
COO,33.488929748535156,43.671119689941406,54.408912658691406,63.56925582885742,80.26839447021484,90.7857437133789,104.69979095458984,82.65384674072266,94.61000061035156,91.93000030517578
COP,34.352439880371094,37.83304214477539,42.352752685546875,48.972015380859375,52.21849822998047,33.40119934082031,62.327091217041016,107.01046752929688,109.13262939453125,95.85408782958984
COST,135.89317321777344,136.27066040039062,166.7572479248047,184.43231201171875,268.71917724609375,356.4999084472656,541.242431640625,438.1368103027344,652.8408813476562,911.5136108398438
CPB,38.258365631103516,45.005123138427734,36.77061080932617,26.06317710876465,40.44816589355469,40.73832702636719,37.810943603515625,50.98541259765625,40.048336029052734,40.082923889160156
CPRT,4.75124979019165,6.926249980926514,10.797499656677246,11.944999694824219,22.735000610351562,31.8125,37.904998779296875,30.44499969482422,49.0,57.38999938964844
CPT,52.00019454956055,62.04309844970703,70.31571197509766,69.6275634765625,86.4814682006836,84.50896453857422,154.80470275878906,99.72511291503906,92.10851287841797,111.73445129394531
CRL,80.38999938964844,76.19000244140625,109.44999694824219,113.18000030517578,152.75999450683594,249.86000061035156,376.7799987792969,217.89999389648438,236.39999389648438,184.60000610351562
CSCO,19.846620559692383,22.850141525268555,29.994983673095703,34.96562957763672,39.7952995300293,38.40785598754883,55.983795166015625,43.40829086303711,47.44350051879883,57.40455627441406
CTRA,12.860259056091309,17.044057846069336,21.008657455444336,16.581634521484375,13.135918617248535,12.567666053771973,15.520666122436523,21.951385498046875,23.86568260192871,24.67295265197754
CVS,72.5343246459961,59.60118103027344,56.172760009765625,52.22028350830078,61.23357009887695,58.085540771484375,89.95655822753906,83.0965576171875,72.68152618408203,43.049076080322266
CVX,58.64710235595703,80.14794158935547,88.63529968261719,79.9956283569336,92.21389770507812,68.28245544433594,99.85713958740234,158.23594665527344,136.6641082763672,138.4231414794922
CZR,11.0,16.950000762939453,33.150001525878906,36.209999084472656,59.63999938964844,74.2699966430664,93.52999877929688,41.599998474121094,46.880001068115234,33.41999816894531
D,43.91606140136719,51.674442291259766,56.79700469970703,52.485416412353516,63.7700080871582,60.36104202270508,65.25955200195312,52.78290557861328,42.685813903808594,51.408870697021484
DD,24.53791618347168,28.241397857666016,36.10519027709961,27.74545669555664,23.85819435119629,27.02754783630371,31.193817138671875,27.027233123779297,30.90753936767578,31.229293823242188
DG,63.2580680847168,66.0142593383789,83.78286743164062,98.48418426513672,143.49705505371094,195.00218200683594,220.37203979492188,232.64834594726562,129.96966552734375,73.92153930664062
DHI,28.6500186920166,24.734277725219727,46.76154327392578,32.141990661621094,49.591854095458984,65.57694244384766,104.09268188476562,86.57181549072266,148.96595764160156,138.1772003173828
DIS,96.85610961914062,97.50694274902344,102.14846801757812,105.83379364013672,141.3024139404297,177.01145935058594,151.3263397216797,84.88109588623047,88.50012969970703,110.13202667236328
DLR,53.376834869384766,71.9990463256836,86.25151824951172,83.66197204589844,97.48011779785156,117.33827209472656,153.31161499023438,90.45410919189453,126.58778381347656,172.02732849121094
DOC,20.511795043945312,18.573911666870117,17.143978118896484,19.49078369140625,25.1735897064209,23.23889923095703,28.755064010620117,20.840030670166016,17.421749114990234,18.95319938659668
DOV,41.72610092163086,52.31155014038086,72.02411651611328,64.02470397949219,106.15121459960938,118.38804626464844,172.5323028564453,130.53944396972656,150.40316772460938,185.51821899414062
DRI,47.74127960205078,56.42466735839844,76.73416137695312,82.01966857910156,92.10044860839844,101.72696685791016,131.71115112304688,125.33650207519531,153.9455108642578,181.2003631591797
DUK,47.32541275024414,53.6841926574707,60.6393928527832,65.1363525390625,71.83770751953125,75.26541900634766,89.64964294433594,91.46636199951172,89.97872161865234,103.97926330566406
DVA,69.70999908447266,64.19999694824219,72.25,51.459999084472656,75.02999877929688,117.4000015258789,113.76000213623047,74.66999816894531,104.76000213623047,149.5500030517578
DVN,22.247100830078125,32.23326110839844,29.415809631347656,16.15290641784668,18.86827278137207,12.200860977172852,36.10132598876953,54.46393585205078,42.57609176635742,31.84259796142578
EA,66.8160400390625,76.57787322998047,102.14918518066406,76.72370910644531,104.53131103515625,139.8074493408203,129.05540466308594,120.22241973876953,135.45191955566406,145.6028594970703
ECL,102.5571517944336,106.4015121459961,123.21633911132812,136.8576202392578,181.014404296875,204.85128784179688,224.0762176513672,140.94725036621094,194.42791748046875,231.93426513671875
EIX,39.75054931640625,49.65877151489258,44.95351028442383,41.963993072509766,57.74706268310547,50.3846549987793,57.23095703125,55.754817962646484,65.44291687011719,75.41959381103516
EL,77.50162506103516,68.27943420410156,115.1768798828125,119.06503295898438,190.91380310058594,247.75662231445312,346.94610595703125,234.83888244628906,140.59326171875,73.6805191040039
ELV,121.4378662109375,127.68831634521484,202.66488647460938,239.36729431152344,278.467529296875,300.03033447265625,438.3961181640625,490.2485656738281,456.4739990234375,361.8968811035156
EMN,48.802825927734375,55.841331481933594,70.5166015625,57.048858642578125,63.89860534667969,84.20238494873047,104.02291107177734,72.425048828125,83.0416259765625,87.28450012207031
ENPH,3.509999990463257,1.0099999904632568,2.4100000858306885,4.730000019073486,26.1299991607666,175.47000122070312,182.94000244140625,264.9599914550781,132.13999938964844,68.68000030517578
EPAM,78.62000274658203,64.30999755859375,107.43000030517578,116.01000213623047,212.16000366210938,358.3500061035156,668.4500122070312,327.739990234375,297.3399963378906,233.82000732421875
EQIX,249.17776489257812,300.7375183105469,388.5398254394531,309.2236633300781,522.1591186523438,648.6267700195312,780.146484375,615.3305053710938,771.6566772460938,921.7508544921875
ES,36.24833297729492,40.512149810791016,47.792144775390625,50.854915618896484,68.39434051513672,71.43726348876953,77.28457641601562,73.37430572509766,56.185089111328125,54.80265426635742
ESS,172.5748291015625,172.42526245117188,184.18661499023438,193.0779571533203,243.1242218017578,199.1378936767578,303.4873046875,188.89088439941406,230.39703369140625,272.6971130371094
ETR,23.11052894592285,26.009689331054688,30.148176193237305,33.344810485839844,48.11969757080078,41.51313018798828,48.6201286315918,50.34750747680664,47.283138275146484,73.74081420898438
EXC,13.924001693725586,18.480070114135742,21.26764678955078,25.16568946838379,26.241661071777344,25.22739601135254,35.69243240356445,38.65156173706055,33.25449752807617,36.319679260253906
EXR,60.761165618896484,55.180301666259766,65.0186538696289,69.75558471679688,84.19998931884766,95.68315887451172,192.30615234375,129.1974334716797,147.10572814941406,142.96688842773438
FANG,51.7329216003418,78.14842224121094,97.62751770019531,71.9041519165039,72.56330108642578,39.18383026123047,89.14706420898438,120.64952087402344,144.36972045898438,159.3070526123047
FDS,146.53945922851562,149.09959411621094,178.0864715576172,187.02650451660156,253.4365234375,317.1159362792969,467.7179260253906,389.3780822753906,467.1983337402344,474.7599182128906
FE,20.882383346557617,21.28798484802246,22.057252883911133,28.200834274291992,37.826210021972656,24.896501541137695,35.30451202392578,36.9945182800293,33.71516036987305,38.179935455322266
FRT,100.18977355957031,99.96988677978516,96.3834228515625,88.57600402832031,99.65936279296875,69.1079330444336,114.69656372070312,88.70396423339844,94.51558685302734,105.92497253417969
GD,110.19829559326172,141.5565643310547,169.6619415283203,133.45452880859375,153.19940185546875,133.06886291503906,191.31968688964844,232.8135223388672,249.40350341796875,258.1867980957031
GIS,40.5721549987793,44.75484085083008,44.46350860595703,30.426300048828125,43.54859924316406,49.469642639160156,58.634403228759766,75.10617065429688,60.110923767089844,60.98003005981445
GL,52.56034469604492,68.47238159179688,84.85832977294922,70.23668670654297,99.97650909423828,91.05579376220703,90.61479187011719,117.51490020751953,119.59706115722656,110.59039306640625
GM,27.36225700378418,29.402515411376953,36.02146911621094,30.59794044494629,34.887264251708984,40.17560577392578,56.5681037902832,32.6033935546875,35.18620681762695,52.7240104675293
GNRC,29.770000457763672,40.7400016784668,49.52000045776367,49.70000076293945,100.58999633789062,227.41000366210938,351.9200134277344,100.66000366210938,129.24000549316406,155.0500030517578
GOOG,37.66153335571289,38.303714752197266,51.930511474609375,51.39502716064453,66.35334014892578,86.9419174194336,143.6024627685547,88.06947326660156,139.88087463378906,189.70147705078125
GOOGL,38.60877990722656,39.32537078857422,52.275020599365234,51.8561897277832,66.46727752685547,86.97484588623047,143.76576232910156,87.56836700439453,138.64247131347656,188.56150817871094
HAS,48.25060272216797,57.11769485473633,68.30278015136719,62.70164489746094,83.6478271484375,76.6020736694336,85.71810913085938,53.20633316040039,46.84897232055664,53.764320373535156
HSIC,62.03529357910156,59.494117736816406,54.80784225463867,61.584312438964844,66.72000122070312,66.86000061035156,77.52999877929688,79.87000274658203,75.70999908447266,69.19999694824219
HSY,70.33589172363281,83.52619934082031,93.82645416259766,91.09066009521484,127.71150207519531,135.24261474609375,175.25099182128906,213.56500244140625,175.38357543945312,163.9732666015625
IFF,93.80903625488281,94.18391418457031,124.29105377197266,111.7410888671875,109.84616088867188,95.19674682617188,134.746826171875,96.54769134521484,77.746826171875,82.61698150634766
INTU,89.21715545654297,107.20965576171875,149.2511749267578,187.84512329101562,251.9257049560547,368.1193542480469,626.7789916992188,381.58404541015625,617.2374267578125,624.3743896484375
IP,23.213911056518555,34.109256744384766,38.58925247192383,27.89179039001465,33.322383880615234,37.93446350097656,39.25666427612305,30.21003532409668,33.29316711425781,51.711177825927734
IPG,15.983826637268066,16.49785804748535,14.679232597351074,15.570303916931152,18.210378646850586,19.523181915283203,32.153465270996094,29.638309478759766,30.11695671081543,26.965591430664062
IRM,15.416885375976562,19.649749755859375,24.280086517333984,22.34486961364746,23.656845092773438,23.889875411987305,44.85406494140625,44.81926727294922,65.67247009277344,101.45085906982422
ISRG,60.684444427490234,70.46333312988281,121.64666748046875,159.63999938964844,197.0500030517578,272.70001220703125,359.29998779296875,265.3500061035156,337.3599853515625,521.9600219726562
K,47.692935943603516,50.04729080200195,47.677913665771484,41.417945861816406,52.351776123046875,48.91529846191406,52.6830940246582,60.37794876098633,52.570396423339844,78.72621154785156
KDP,11.879166603088379,11.829120635986328,12.983386993408203,21.548641204833984,24.87274932861328,28.113183975219727,33.03148651123047,32.62664031982422,31.244461059570312,30.915931701660156
KIM,16.282962799072266,16.06485939025879,12.262850761413574,10.63668155670166,15.927970886230469,12.11448860168457,20.53137969970703,18.314517974853516,19.42282485961914,22.33917236328125
KLAC,58.063385009765625,67.90302276611328,92.89461517333984,81.29252624511719,165.8267822265625,245.32762145996094,412.26611328125,366.09832763671875,571.29443359375,624.7797241210938
KMI,9.012018203735352,12.862692832946777,11.503862380981445,10.217167854309082,14.756373405456543,10.216856956481934,12.644048690795898,15.32910442352295,15.959687232971191,26.243404388427734
KMX,53.970001220703125,64.38999938964844,64.12999725341797,62.72999954223633,87.66999816894531,94.45999908447266,130.22999572753906,60.88999938964844,76.73999786376953,81.76000213623047
